,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2023-04-28_2023-05-04,GDX,GLD,XLU,XLV,XLP,XLI,QQQ,VNQ,DGS10,XLY,VOX,XLF,XLE,TIPS,IAT
2023-05-05_2023-05-11,TIPS,VOX,XLY,QQQ,GLD,XLP,XLU,XLV,XLF,XLI,VNQ,DGS10,XLE,IAT,GDX
2023-05-12_2023-05-18,TIPS,IAT,DGS10,QQQ,VOX,XLY,XLF,XLI,XLE,XLV,XLP,VNQ,GLD,XLU,GDX
2023-05-19_2023-05-25,TIPS,DGS10,IAT,QQQ,XLE,VOX,GLD,XLY,XLI,XLU,XLF,VNQ,XLV,XLP,GDX
2023-05-26_2023-06-02,IAT,VNQ,XLY,GDX,XLI,XLV,XLF,QQQ,VOX,XLE,XLU,XLP,GLD,DGS10,TIPS
2023-06-05_2023-06-09,TIPS,IAT,XLE,XLY,XLI,DGS10,XLF,VNQ,XLU,VOX,GLD,QQQ,XLV,XLP,GDX
2023-06-12_2023-06-16,XLI,XLP,TIPS,QQQ,XLU,VNQ,XLY,VOX,XLF,DGS10,XLV,IAT,GDX,XLE,GLD
2023-06-20_2023-06-26,TIPS,XLE,XLP,XLI,XLV,GDX,XLU,DGS10,GLD,VNQ,XLF,VOX,XLY,QQQ,IAT
2023-06-27_2023-07-03,TIPS,GDX,IAT,XLE,XLY,XLF,VNQ,DGS10,XLI,QQQ,VOX,XLP,XLV,GLD,XLU
2023-07-05_2023-07-11,IAT,XLE,TIPS,XLI,GDX,DGS10,XLF,GLD,VNQ,VOX,XLY,QQQ,XLU,XLV,XLP
2023-07-12_2023-07-18,IAT,QQQ,GDX,XLY,XLV,XLF,GLD,VOX,XLI,XLP,VNQ,TIPS,DGS10,XLU,XLE
2023-07-19_2023-07-25,DGS10,XLE,TIPS,XLU,XLV,XLP,XLF,VNQ,XLI,GLD,IAT,QQQ,GDX,VOX,XLY
2023-07-26_2023-08-01,TIPS,DGS10,VOX,QQQ,XLE,XLI,XLY,XLF,XLP,IAT,GLD,XLV,VNQ,XLU,GDX
2023-08-02_2023-08-08,XLY,XLE,XLV,IAT,VOX,XLF,XLI,GLD,QQQ,GDX,XLP,VNQ,DGS10,XLU,TIPS
2023-08-09_2023-08-15,TIPS,DGS10,XLV,QQQ,VOX,GLD,XLE,XLY,XLI,XLP,XLF,VNQ,XLU,GDX,IAT
2023-08-16_2023-08-22,TIPS,DGS10,XLE,GDX,GLD,QQQ,XLU,XLY,XLV,XLI,VNQ,VOX,XLF,XLP,IAT
2023-08-23_2023-08-29,GDX,IAT,XLY,VNQ,XLF,QQQ,VOX,XLE,XLI,GLD,XLV,XLP,XLU,TIPS,DGS10
2023-08-30_2023-09-06,TIPS,DGS10,XLE,XLF,QQQ,XLY,VOX,GLD,IAT,VNQ,XLI,XLP,XLV,XLU,GDX
2023-09-07_2023-09-13,XLU,XLY,GDX,IAT,XLF,XLE,VOX,QQQ,XLV,XLP,DGS10,GLD,TIPS,XLI,VNQ
2023-09-14_2023-09-20,TIPS,GDX,DGS10,GLD,XLV,XLU,XLP,XLF,XLI,VNQ,VOX,XLE,IAT,QQQ,XLY
2023-09-21_2023-09-27,TIPS,XLE,DGS10,XLI,QQQ,VOX,XLV,IAT,XLF,GLD,XLP,XLY,VNQ,XLU,GDX
2023-09-28_2023-10-04,TIPS,DGS10,QQQ,XLY,VOX,XLP,XLV,XLI,VNQ,GLD,XLF,IAT,XLU,GDX,XLE
2023-10-05_2023-10-12,GDX,XLU,XLI,QQQ,VOX,XLE,GLD,VNQ,IAT,XLF,XLY,XLV,DGS10,XLP,TIPS
2023-10-13_2023-10-19,TIPS,DGS10,XLE,GLD,GDX,XLP,IAT,VOX,XLU,XLV,QQQ,XLF,XLI,XLY,VNQ
2023-10-20_2023-10-26,XLU,IAT,XLP,GLD,TIPS,VNQ,XLF,XLI,DGS10,XLV,XLY,QQQ,GDX,XLE,VOX
2023-10-27_2023-11-02,IAT,VNQ,XLF,VOX,XLY,QQQ,XLU,XLI,XLE,XLP,XLV,GLD,GDX,DGS10,TIPS
2023-11-03_2023-11-09,TIPS,DGS10,QQQ,VOX,XLP,XLI,XLF,XLY,XLV,GLD,XLU,VNQ,IAT,XLE,GDX
2023-11-10_2023-11-16,IAT,GDX,VNQ,XLU,XLY,XLF,VOX,XLI,GLD,QQQ,XLV,XLP,XLE,DGS10,TIPS
2023-11-17_2023-11-24,GDX,XLV,TIPS,XLP,VOX,XLF,GLD,QQQ,VNQ,XLI,DGS10,XLY,XLU,XLE,IAT
2023-11-27_2023-12-01,IAT,GDX,VNQ,XLI,GLD,XLF,XLY,XLU,XLV,XLP,XLE,QQQ,VOX,DGS10,TIPS
2023-12-04_2023-12-08,TIPS,VOX,XLY,QQQ,IAT,XLU,XLI,XLF,XLV,VNQ,DGS10,GLD,XLP,XLE,GDX
2023-12-11_2023-12-15,IAT,VNQ,GDX,XLY,XLF,XLI,QQQ,XLE,GLD,VOX,XLV,XLP,XLU,DGS10,TIPS
2023-12-18_2023-12-22,GDX,VOX,GLD,XLE,XLV,VNQ,XLI,QQQ,XLF,IAT,XLY,XLP,XLU,DGS10,TIPS
2023-12-26_2023-12-28,TIPS,VNQ,XLV,XLU,XLF,XLP,VOX,IAT,XLI,QQQ,GLD,XLY,DGS10,GDX,XLE
